Orte_Nr,Ort,PLZ,Bundesland,Region,Nummernfeld
1,'Berlin','D-86269','Berlin','Ost',3
2,'Braunschweig','D-69279','Niedersachsen','Mitte',9
3,'Bremen','D-37053','Bremen','Nord',1
4,'Dortmund','D-71382','Nordrhein-Westfalen','Sued',1
5,'Elmshorn','D-29543','Schleswig Holstein','Nord',1
6,'Essen','D-65922','Nordrhein-Westfale','West',6
7,'Hannover','D-87741','Niedersachsen','West',1
8,'Kaiserslautern','D-47186','Rheinland Pfalz','Mitte',7
9,'Karlsruhe','D-84769','Baden Wuerttemberg','Mitte',4
10,'Kiel','D-27228','Schleswig Holstein','Nord',3
11,'Ludwigsburg','D-43165','Bayern','Mitte',5
12,'Mannheim','D-15059','Baden Wuerttemberg','West',9
13,'Muenchen','D-80639','Bayern','Sued',7
15,'Muenster','D-84407','Nordrhein-Westfalen','West',4
16,'Nuernberg','D-21394','Bayern','Sued',1
17,'Stuttgart','D-41722','Baden Wuerttemberg','Sued',1
18,'Trier','D-63893','Rheinland Pfalz','Sued',6
19,'Ulm','D-62064','Baden Wuerttemberg','Sued',6
20,'Wuerzburg','D-52375','Bayern','Ost',4
21,'Augsburg','D-52375','Bayern','Sued',4
22,'Saarbruecken','D-52375','Saarland','West',7
23,'Leipzig','D-52375','Sachsen','Ost',2
24,'Ludwigshafen','D-52375','Rheinland Pfalz','Mitte',8
25,'Dreieich','D-52375','Hessen','Mitte',4
26,'Darmstadt','D-52375','Hessen','Mitte',9
27,'Freiburg','D-52375','Baden Wuerttemberg','Sued',6
28,'Regensburg','D-52375','Bayern','Sued',7
29,'Potsdam','D-52375','Brandenburg','Ost',3
30,'Duisburg','D-52375','Nordrhein-Westfale','West',5
31,'Koeln','D-52375','Nordrhein-Westfale','West',8
32,'Koblenz','D-52375','Rheinland Pfalz','Mitte',1
33,'Worms','D-52375','Rheinland Pfalz','West',2
34,'Heidelberg','D-52375','Baden Wuerttemberg','Mitte',7
35,'Coburg','D-52375','Bayern','Sued',5
36,'Frankfurt','D-52375','Hessen','Mitte',4
37,'Flensburg','D-52375','Schleswig Holstein','Nord',3
38,'Wiesbaden','D-52375','Hessen','Mitte',8
39,'Mainz','D-52375','Hessen','Mitte',8
40,'Fuerth','D-52375','Bayern','Sued',3
41,'Duesseldorf','D-52375','Nordrhein-Westfalen','West',5
42,'Osnabrueck','D-52375','Nordrhein-Westfalen','Mitte',7
43,'Bielefeld','D-52375','Nordrhein-Westfalen','Mitte',8
44,'Aachen','D-52375','Nordrhein-Westfalen','West',2
45,'Dresden','D-52375','Sachsen','Ost',9
46,'Chemnitz','D-52375','Sachsen','Ost',3
47,'Luebeck','D-52375','Schleswig Holstein','Nord',6
48,'Wilhelmshaven','D-52375','Nordrhein-Westfalen','Nord',1
49,'Kassel','D-52375','Hessen','Mitte',7
50,'Schweinfurt','D-52375','Bayern','Sued',8
51,'Erfurt','D-52375','Thueringen','Ost',4
52,'Bamberg','D-52375','Bayern','Sued',3
53,'Hamburg','D-52375','Hamburg','Nord',8
54,'Muenster','D-84407','Nordrhein-Westfalen','West',4
55,'Nuernberg','D-21394','Bayern','Sued',1
56,'Stuttgart','D-41722','Baden Wuerttemberg','Sued',1
57,'Trier','D-63893','Rheinland Pfalz','Sued',6
58,'Ulm','D-62064','Baden Wuerttemberg','Sued',6
60,'Wuerzburg','D-52375','Bayern','Ost',4
61,'Augsburg','D-52375','Bayern','Sued',4
